CIE10_X,CIE10,DESCRIPCION CIE
O923,O923,AGALACTIA
O924,O924,HIPOGALACTIA
O925,O925,SUPRESION DE LA LACTANCIA
O926,O926,GALACTORREA
O927,O927,OTROS TRASTORNOS Y LOS NO ESPECIFICADOS DE LA LACTANCIA
O94X,O94,SECUELAS DE COMPLICACIONES DEL EMBARAZO
O95X,O95,MUERTE OBSTETRICA DE CAUSA NO ESPECIFICADA
O960,O960,MUERTE POR CAUSA OBSTETRICA DIRECTA QUE OCURRE DESPUES DE 42 DIAS PERO ANTES DE UN AÑO DEL PARTO
O961,O961,MUERTE POR CAUSA OBSTETRICA INDIRECTA QUE OCURRE DESPUES DE 42 DIAS PERO ANTES DE UN AÑO DEL PARTO
O969,O969,MUERTE PORÂ CAUSA OBSTETRICA NO ESPECIFICADA
O970,O970,MUERTE POR SECUELAS DE CAUSA OBSTETRICA DIRECTA
O971,O971,MUERTE POR SECUELAS DE CAUSA OBSTETRICA INDIRECTA
O979,O979,MUERTE POR SECUELAS DEÂ CAUSA OBSTETRICA NO ESPECIFICADA
O980,O980,TUBERCULOSIS QUE COMPLICA EL EMBARAZO
O981,O981,SIFILIS QUE COMPLICA EL EMBARAZO
O982,O982,GONORREA QUE COMPLICA EL EMBARAZO
O983,O983,OTRAS INFECCIONES CON UN MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL QUE COMPLICAN EL EMBARAZO
O984,O984,HEPATITIS VIRAL QUE COMPLICA EL EMBARAZO
O985,O985,OTRAS ENFERMEDADES VIRALES QUE COMPLICAN EL EMBARAZO
O986,O986,ENFERMEDADES CAUSADAS POR PROTOZOARIOS QUE COMPLICAN EL EMBARAZO
O987,O987,ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH] QUE COMPLICA EL EMBARAZO
O988,O988,OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS MATERNAS QUE COMPLICAN EL EMBARAZO
O989,O989,ENFERMEDAD INFECCIOSA Y PARASITARIA MATERNA NO ESPECIFICADA QUE COMPLICA EL EMBARAZO
O990,O990,ANEMIA QUE COMPLICA EL EMBARAZO
O991,O991,OTRAS ENFERMEDADES DE LA SANGRE Y ORGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL SISTEMA INMUNITARIO CUANDO COMPLICAN EL EMBARAZO
O992,O992,ENFERMEDADES ENDOCRINAS
O993,O993,TRASTORNOS MENTALES Y ENFERMEDADES DEL SISTEMA NERVIOSO QUE COMPLICAN EL EMBARAZO
O994,O994,ENFERMEDADES DEL SISTEMA CIRCULATORIO QUE COMPLICAN EL EMBARAZO
O995,O995,ENFERMEDADES DEL SISTEMA RESPIRATORIO QUE COMPLICAN EL EMBARAZO
O996,O996,ENFERMEDADES DEL SISTEMA DIGESTIVO QUE COMPLICAN EL EMBARAZO
O997,O997,ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTANEO QUE COMPLICAN EL EMBARAZO
O998,O998,OTRAS ENFERMEDADES ESPECIFICADAS Y AFECCIONES QUE COMPLICAN EL EMBARAZO
P000,P000,FETO Y RECIEN NACIDO AFECTADOS POR TRASTORNOS HIPERTENSIVOS DE LA MADRE
P001,P001,FETO Y RECIEN NACIDO AFECTADOS POR ENFERMEDADES RENALES Y DE LAS VIAS URINARIAS DE LA MADRE
P002,P002,FETO Y RECIEN NACIDO AFECTADOS POR ENFERMEDADES INFECCIOSAS Y PARASITARIAS DE LA MADRE
P003,P003,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS ENFERMEDADES CIRCULATORIAS Y RESPIRATORIAS DE LA MADRE
P004,P004,FETO Y RECIEN NACIDO AFECTADOS POR TRASTORNOS NUTRICIONALES DE LA MADRE
P005,P005,FETO Y RECIEN NACIDO AFECTADOS POR TRAUMATISMO DE LA MADRE
P006,P006,FETO Y RECIEN NACIDO AFECTADOS POR PROCEDIMIENTO QUIRURGICO EN LA MADRE
P007,P007,FETO Y RECIEN NACIDO AFECTADOS POR OTRO PROCEDIMIENTO MEDICO EN LA MADRE
P008,P008,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS AFECCIONES MATERNAS
P009,P009,FETO Y RECIEN NACIDO AFECTADOS POR AFECCION MATERNA NO ESPECIFICADA
P010,P010,FETO Y RECIEN NACIDO AFECTADOS POR INCOMPETENCIA DEL CUELLO UTERINO
P011,P011,FETO Y RECIEN NACIDO AFECTADOS POR RUPTURA PREMATURA DE LAS MEMBRANAS
P012,P012,FETO Y RECIEN NACIDO AFECTADOS POR OLIGOHIDRAMNIOS
P013,P013,FETO Y RECIEN NACIDO AFECTADOS POR POLIHIDRAMNIOS
P014,P014,FETO Y RECIEN NACIDO AFECTADOS POR EMBARAZO ECTOPICO
P015,P015,FETO Y RECIEN NACIDO AFECTADOS POR EMBARAZO MULTIPLE
P016,P016,FETO Y RECIEN NACIDO AFECTADOS POR MUERTE MATERNA
P017,P017,FETO Y RECIEN NACIDO AFECTADOS POR PRESENTACION ANOMALA ANTES DEL TRABAJO DE PARTO
P018,P018,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES MATERNAS DEL EMBARAZO
P019,P019,FETO Y RECIEN NACIDO AFECTADOS POR COMPLICACIONES MATERNAS NO ESPECIFICADAS DEL EMBARAZO
P020,P020,FETO Y RECIEN NACIDO AFECTADOS POR PLACENTA PREVIA
P021,P021,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS FORMAS DE DESPRENDIMIENTO Y DE HEMORRAGIA PLACENTARIOS
P022,P022,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS ANORMALIDADES MORFOLOGICAS Y FUNCIONALES DE LA PLACENTA Y LAS NO ESPECIFICADAS
P023,P023,FETO Y RECIEN NACIDO AFECTADOS POR SINDROMES DE TRANSFUSION PLACENTARIA
P024,P024,FETO Y RECIEN NACIDO AFECTADOS POR PROLAPSO DEL CORDON UMBILICAL
P025,P025,FETO Y RECIEN NACIDO AFECTADOS POR OTRA COMPRESION DEL CORDON UMBILICAL
P026,P026,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES DEL CORDON UMBILICAL Y LAS NO ESPECIFICADAS
P027,P027,FETO Y RECIEN NACIDO AFECTADOS POR CORIOAMNIONITIS
P028,P028,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS ANORMALIDADES DE LAS MEMBRANAS
P029,P029,FETO Y RECIEN NACIDO AFECTADOS POR ANORMALIDAD NO ESPECIFICADA DE LAS MEMBRANAS
P030,P030,FETO Y RECIEN NACIDO AFECTADOS POR PARTO Y EXTRACCION DE NALGAS
P031,P031,FETO Y RECIEN NACIDO AFECTADOS POR OTRA PRESENTACION ANOMALA
P032,P032,FETO Y RECIEN NACIDO AFECTADOS POR PARTO CON FORCEPS
P033,P033,FETO Y RECIEN NACIDO AFECTADOS POR PARTO CON VENTOSA EXTRACTORA
P034,P034,FETO Y RECIEN NACIDO AFECTADOS POR PARTO POR CESAREA
P035,P035,FETO Y RECIEN NACIDO AFECTADOS POR PARTO PRECIPITADO
P036,P036,FETO Y RECIEN NACIDO AFECTADOS POR CONTRACCIONES UTERINAS ANORMALES
P038,P038,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES ESPECIFICADAS DEL TRABAJO DE PARTO Y DEL PARTO
P039,P039,FETO Y RECIEN NACIDO AFECTADOS POR COMPLICACIONES NO ESPECIFICADAS DEL TRABAJO DE PARTO Y DEL PARTO
P040,P040,FETO Y RECIEN NACIDO AFECTADOS POR ANESTESIA Y ANALGESIA MATERNA EN EL EMBARAZO
P041,P041,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS MEDICACIONES MATERNAS
P042,P042,FETO Y RECIEN NACIDO AFECTADOS POR TABAQUISMO DE LA MADRE
P043,P043,FETO Y RECIEN NACIDO AFECTADOS POR ALCOHOLISMO DE LA MADRE
P044,P044,FETO Y RECIEN NACIDO AFECTADOS POR DROGADICCION MATERNA
P045,P045,FETO Y RECIEN NACIDO AFECTADOS POR EL USO MATERNO DE SUSTANCIAS QUIMICAS NUTRICIONALES
P046,P046,FETO Y RECIEN NACIDO AFECTADOS POR EXPOSICION MATERNA A SUSTANCIAS QUIMICAS AMBIENTALES
P048,P048,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS INFLUENCIAS NOCIVAS DE LA MADRE
P049,P049,FETO Y RECIEN NACIDO AFECTADOS POR INFLUENCIAS NOCIVAS DE LA MADRE
P050,P050,BAJO PESO PARA LA EDAD GESTACIONAL
P051,P051,PEQUEÑO PARA LA EDAD GESTACIONAL
P052,P052,DESNUTRICION FETAL
P059,P059,RETARDO DEL CRECIMIENTO FETAL
P070,P070,PESO EXTREMADAMENTE BAJO AL NACER
P071,P071,OTRO PESO BAJO AL NACER
P072,P072,INMATURIDAD EXTREMA
P073,P073,OTROS RECIEN NACIDOS PRETERMINO
P080,P080,RECIEN NACIDO EXCEPCIONALMENTE GRANDE
P081,P081,OTROS RECIEN NACIDOS CON SOBREPESO PARA LA EDAD GESTACIONAL
P082,P082,RECIEN NACIDO POSTERMINO SIN SOBREPESO PARA SU EDAD GESTACIONAL
P100,P100,HEMORRAGIA SUBDURAL DEBIDA A TRAUMATISMO DEL NACIMIENTO
P101,P101,HEMORRAGIA CEREBRAL DEBIDA A TRAUMATISMO DEL NACIMIENTO
P102,P102,HEMORRAGIA INTRAVENTRICULAR DEBIDA A TRAUMATISMO DEL NACIMIENTO
P103,P103,HEMORRAGIA SUBARACNOIDEA DEBIDA A TRAUMATISMO DEL NACIMIENTO
P104,P104,DESGARRO  TENTORIAL DEBIDO A TRAUMATISMO DEL NACIMIENTO
P108,P108,OTRAS HEMORRAGIAS Y LACERACIONES INTRACRANEALES DEBIDAS A TRAUMATISMO DEL NACIMIENTO
P109,P109,HEMORRAGIA Y LACERACION INTRACRANEALES NO ESPECIFICADAS
P110,P110,EDEMA CEREBRAL DEBIDO A TRAUMATISMO DEL NACIMIENTO
P111,P111,OTRAS LESIONES ESPECIFICADAS DEL ENCEFALO
P112,P112,LESION NO ESPECIFICADA DEL ENCEFALO
P113,P113,TRAUMATISMO DEL NACIMIENTO EN EL NERVIO FACIAL
P114,P114,TRAUMATISMO DEL NACIMIENTO EN OTROS NERVIOS CRANEALES
P115,P115,TRAUMATISMO DEL NACIMIENTO EN LA COLUMNA VERTEBRAL Y EN LA MEDULA ESPINAL
P119,P119,TRAUMATISMO DEL NACIMIENTO EN EL SISTEMA NERVIOSO CENTRAL
P120,P120,CEFALOHEMATOMA DEBIDO A TRAUMATISMO DEL NACIMIENTO
P121,P121,CAPUT SUCCEDANEUM DEBIDO A TRAUMATISMO DEL NACIMIENTO
P122,P122,HEMORRAGIA EPICRANEAL SUBAPONEUROTICA DEBIDA A TRAUMATISMO DEL NACIMIENTO
P123,P123,EQUIMOSIS DEL CUERO CABELLUDO DEBIDA A TRAUMATISMO DEL NACIMIENTO
P124,P124,TRAUMATISMO EN EL CUERO CABELLUDO DEL RECIEN NACIDO POR MONITOREO FETAL
P128,P128,OTROS TRAUMATISMOS DEL NACIMIENTO EN EL CUERO CABELLUDO
P129,P129,TRAUMATISMO DEL NACIMIENTO EN EL CUERO CABELLUDO
P130,P130,FRACTURA DEL CRANEO DEBIDA A TRAUMATISMO DEL NACIMIENTO
P131,P131,OTROS TRAUMATISMOS DEL CRANEO DURANTE EL NACIMIENTO
P132,P132,TRAUMATISMO DEL FEMUR DURANTE EL NACIMIENTO
P133,P133,TRAUMATISMO DE OTROS HUESOS LARGOS DURANTE EL NACIMIENTO
P134,P134,FRACTURA DE LA CLAVICULA DEBIDA A TRAUMATISMO DEL NACIMIENTO
P138,P138,TRAUMATISMO DEL NACIMIENTO EN OTRAS PARTES DEL ESQUELETO
P139,P139,TRAUMATISMO NO ESPECIFICADO DEL ESQUELETO DURANTE EL NACIMIENTO
P140,P140,PARALISIS DE ERB DEBIDA A TRAUMATISMO DEL NACIMIENTO
P141,P141,PARALISIS DE KLUMPKE DEBIDA A TRAUMATISMO DEL NACIMIENTO
P142,P142,PARALISIS DEL NERVIO FRENICO DEBIDA A TRAUMATISMO DEL NACIMIENTO
P143,P143,OTRO TRAUMATISMO DEL PLEXO BRAQUIAL DURANTE EL NACIMIENTO
P148,P148,TRAUMATISMO DURANTE EL NACIMIENTO EN OTRAS PARTES DEL SISTEMA NERVIOSO PERIFERICO
P149,P149,TRAUMATISMO NO ESPECIFICADO DEL SISTEMA NERVIOSO PERIFERICO DURANTE EL NACIMIENTO
P150,P150,LESION DEL HIGADO DURANTE EL NACIMIENTO
P151,P151,LESION DEL BAZO DURANTE EL NACIMIENTO
P152,P152,TRAUMATISMO DEL MUSCULO ESTERNOCLEIDOMASTOIDEO DURANTE EL NACIMIENTO
P153,P153,TRAUMATISMO OCULAR DURANTE EL NACIMIENTO
P154,P154,TRAUMATISMO FACIAL DURANTE EL NACIMIENTO
P155,P155,TRAUMATISMO DE LOS GENITALES EXTERNOS DURANTE EL NACIMIENTO
P156,P156,NECROSIS GRASA SUBCUTANEA DEBIDA A TRAUMATISMO DEL NACIMIENTO
P158,P158,OTROS TRAUMATISMOS ESPECIFICADOS
P159,P159,TRAUMATISMO NO ESPECIFICADO
P200,P200,HIPOXIA INTRAUTERINA NOTADA POR PRIMERA VEZ ANTES DEL INICIO DEL TRABAJO DE PARTO
P201,P201,HIPOXIA INTRAUTERINA NOTADA POR PRIMERA VEZ DURANTE EL TRABAJO DE PARTO Y EL PARTO
P209,P209,HIPOXIA INTRAUTERINA
P210,P210,ASFIXIA DEL NACIMIENTO
P211,P211,ASFIXIA DEL NACIMIENTO
P219,P219,ASFIXIA DEL NACIMIENTO
P220,P220,SINDROME DE DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO
P221,P221,TAQUIPNEA TRANSITORIA DEL RECIEN NACIDO
P228,P228,OTRAS DIFICULTADES RESPIRATORIAS DEL RECIEN NACIDO
P229,P229,DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO
P230,P230,NEUMONIA CONGENITA DEBIDA A AGENTE VIRAL
P231,P231,NEUMONIA CONGENITA DEBIDA A CHLAMYDIA
P232,P232,NEUMONIA CONGENITA DEBIDA A ESTAFILOCOCOS
P233,P233,NEUMONIA CONGENITA DEBIDA A ESTREPTOCOCOS DEL GRUPO B
P234,P234,NEUMONIA CONGENITA DEBIDA A ESCHERICHIA COLI
P235,P235,NEUMONIA CONGENITA DEBIDA A PSEUDOMONAS
P236,P236,NEUMONIA CONGENITA DEBIDA A OTROS AGENTES BACTERIANOS
P238,P238,NEUMONIA CONGENITA DEBIDA A OTROS ORGANISMOS
P239,P239,NEUMONIA CONGENITA
P240,P240,ASPIRACION NEONATAL DE MECONIO
P241,P241,ASPIRACION NEONATAL DE LIQUIDO AMNIOTICO Y DE MOCO
P242,P242,ASPIRACION NEONATAL DE SANGRE
P243,P243,ASPIRACION NEONATAL DE LECHE Y ALIMENTO REGURGITADO
P248,P248,OTROS SINDROMES DE ASPIRACION NEONATAL
P249,P249,SINDROME DE ASPIRACION NEONATAL
P250,P250,ENFISEMA INTERSTICIAL ORIGINADO EN EL PERIODO PERINATAL
P251,P251,NEUMOTORAX ORIGINADO EN EL PERIODO PERINATAL
P252,P252,NEUMOMEDIASTINO ORIGINADO EN EL PERIODO PERINATAL
P253,P253,NEUMOPERICARDIO ORIGINADO EN EL PERIODO PERINATAL
P258,P258,OTRAS AFECCIONES RELACIONADAS CON EL ENFISEMA INTERSTICIAL
P260,P260,HEMORRAGIA TRAQUEOBRONQUIAL ORIGINADA EN EL PERIODO PERINATAL
P261,P261,HEMORRAGIA PULMONAR MASIVA ORIGINADA EN EL PERIODO PERINATAL
P268,P268,OTRAS HEMORRAGIAS PULMONARES ORIGINADAS EN EL PERIODO PERINATAL
P269,P269,HEMORRAGIA PULMONAR NO ESPECIFICADA
P270,P270,SINDROME DE WILSON-MIKITY
P271,P271,DISPLASIA BRONCOPULMONAR ORIGINADA EN EL PERIODO PERINATAL
P278,P278,OTRAS ENFERMEDADES RESPIRATORIAS CRONICAS ORIGINADAS EN EL PERIODO PERINATAL
P279,P279,ENFERMEDAD RESPIRATORIA CRONICA NO ESPECIFICADA ORIGINADA EN EL PERIODO PERINATAL
P280,P280,ATELECTASIA PRIMARIA DEL RECIEN NACIDO
P281,P281,OTRAS ATELECTASIAS DEL RECIEN NACIDO Y LAS NO ESPECIFICADAS
P282,P282,ATAQUE CIANOTICO DEL RECIEN NACIDO
P283,P283,APNEA PRIMARIA DEL SUEÑO DEL RECIEN NACIDO
P284,P284,OTRAS APNEAS DEL RECIEN NACIDO
P285,P285,INSUFICIENCIA RESPIRATORIA DEL RECIEN NACIDO
P288,P288,OTROS PROBLEMAS RESPIRATORIOS ESPECIFICADOS DEL RECIEN NACIDO
P289,P289,AFECCION RESPIRATORIA NO ESPECIFICADA DEL RECIEN NACIDO
P290,P290,INSUFICIENCIA CARDIACA NEONATAL
P291,P291,DISRITMIA CARDIACA NEONATAL
P292,P292,HIPERTENSION NEONATAL
P293,P293,PERSISTENCIA DE LA CIRCULACION FETAL
P294,P294,ISQUEMIA MIOCARDICA TRANSITORIA DEL RECIEN NACIDO
P298,P298,OTROS TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL
P299,P299,TRASTORNO CARDIOVASCULAR NO ESPECIFICADO
P350,P350,SINDROME DE RUBEOLA CONGENITA
P351,P351,INFECCION CITOMEGALOVIRICA CONGENITA
P352,P352,INFECCIONES CONGENITAS POR VIRUS DEL HERPES SIMPLE
P353,P353,HEPATITIS VIRAL CONGENITA
P358,P358,OTRAS ENFERMEDADES VIRALES CONGENITAS
P359,P359,ENFERMEDAD VIRAL CONGENITA
P360,P360,SEPSIS DEL RECIEN NACIDO DEBIDA A ESTREPTOCOCO DEL GRUPO B
P361,P361,SEPSIS DEL RECIEN NACIDO DEBIDA A OTROS ESTREPTOCOCOS Y A LOS NO ESPECIFICADOS
P362,P362,SEPSIS DEL RECIEN NACIDO DEBIDA A STAPHYLOCOCCUS AUREUS
P363,P363,SEPSIS DEL RECIEN NACIDO DEBIDA A OTROS ESTAFILOCOCOS Y A LOS NO ESPECIFICADOS
P364,P364,SEPSIS DEL RECIEN NACIDO DEBIDA A ESCHERICHIA COLI
P365,P365,SEPSIS DEL RECIEN NACIDO DEBIDA A ANAEROBIOS
P368,P368,SEPSIS DEL RECIEN NACIDO DEBIDA A OTRAS BACTERIAS
P369,P369,SEPSIS BACTERIANA DEL RECIEN NACIDO
P370,P370,TUBERCULOSIS CONGENITA
P371,P371,TOXOPLASMOSIS CONGENITA
P372,P372,LISTERIOSIS CONGENITA (DISEMINADA)
P373,P373,PALUDISMO CONGENITO POR PLASMODIUM FALCIPARUM
P374,P374,OTROS PALUDISMOS CONGENITOS
P375,P375,CANDIDIASIS NEONATAL
P378,P378,OTRAS ENFERMEDADES NEONATALES INFECCIOSAS O PARASITARIAS ESPECIFICADAS
P379,P379,ENFERMEDAD INFECCIOSA Y PARASITARIA CONGENITA
P38X,P38,ONFALITIS DEL RECIEN NACIDO CON O SIN HEMORRAGIA LEVE
P390,P390,MASTITIS INFECCIOSA NEONATAL
P391,P391,CONJUNTIVITIS Y DACRIOCISTITIS NEONATALES
P392,P392,INFECCION INTRAAMNIOTICA DEL FETO
P393,P393,INFECCION NEONATAL DE LAS VIAS URINARIAS
P394,P394,INFECCION CUTANEA NEONATAL
P398,P398,OTRAS INFECCIONES ESPECIFICADAS PROPIAS DEL PERIODO PERINATAL
P399,P399,INFECCION PROPIA DEL PERIODO PERINATAL
P500,P500,PERDIDA DE SANGRE FETAL POR VASA PREVIA
P501,P501,PERDIDA DE SANGRE FETAL POR RUPTURA DEL CORDON UMBILICAL
P502,P502,PERDIDA DE SANGRE FETAL POR LA PLACENTA
P503,P503,HEMORRAGIA FETAL HACIA EL OTRO GEMELO
P504,P504,HEMORRAGIA FETAL HACIA LA CIRCULACION MATERNA
P505,P505,PERDIDA DE SANGRE FETAL POR EL CORTE DEL CORDON UMBILICAL EN EL OTRO GEMELO
P508,P508,OTRAS PERDIDAS DE SANGRE FETAL
P509,P509,PERDIDA DE SANGRE FETAL
P510,P510,HEMORRAGIA UMBILICAL MASIVA DEL RECIEN NACIDO
P518,P518,OTRAS HEMORRAGIAS UMBILICALES DEL RECIEN NACIDO
P519,P519,HEMORRAGIA UMBILICAL DEL RECIEN NACIDO
P520,P520,HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) GRADO 1
P521,P521,HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) GRADO 2
P522,P522,HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) GRADO 3
P523,P523,HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO
P524,P524,HEMORRAGIA INTRACEREBRAL (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO
P525,P525,HEMORRAGIA SUBARACNOIDEA (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO
P526,P526,HEMORRAGIA CEREBELOSA Y DE LA FOSA POSTERIOR (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO
P528,P528,OTRAS HEMORRAGIAS INTRACRANEALES (NO TRAUMATICAS) DEL FETO Y DEL RECIEN NACIDO
P529,P529,HEMORRAGIA INTRACRANEAL (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO
P53X,P53,ENFERMEDAD HEMORRAGICA DEL FETO Y DEL RECIEN NACIDO
P540,P540,HEMATEMESIS NEONATAL
P541,P541,MELENA NEONATAL
P542,P542,HEMORRAGIA RECTAL NEONATAL
P543,P543,OTRAS HEMORRAGIAS GASTROINTESTINALES NEONATALES
P544,P544,HEMORRAGIA SUPRARRENAL NEONATAL
P545,P545,HEMORRAGIA CUTANEA NEONATAL
P546,P546,HEMORRAGIA VAGINAL NEONATAL
P548,P548,OTRAS HEMORRAGIAS FETALES Y NEONATALES ESPECIFICADAS
P549,P549,HEMORRAGIA NEONATAL
P550,P550,INCOMPATIBILIDAD RH DEL FETO Y DEL RECIEN NACIDO
P551,P551,INCOMPATIBILIDAD ABO DEL FETO Y DEL RECIEN NACIDO
P558,P558,OTRAS ENFERMEDADES HEMOLITICAS DEL FETO Y DEL RECIEN NACIDO
P559,P559,ENFERMEDAD HEMOLITICA DEL FETO Y DEL RECIEN NACIDO
P560,P560,HIDROPESIA FETAL DEBIDA A INCOMPATIBILIDAD
P569,P569,HIDROPESIA FETAL DEBIDA A OTRAS ENFERMEDADES HEMOLITICAS ESPECIFICADAS Y A LAS NO ESPECIFICADAS
P570,P570,KERNICTERUS DEBIDO A INCOMPATIBILIDAD
P578,P578,KERNICTERUS DEBIDO A OTRAS CAUSAS ESPECIFICADAS
P579,P579,KERNICTERUS
P580,P580,ICTERICIA NEONATAL DEBIDA A CONTUSION
P581,P581,ICTERICIA NEONATAL DEBIDA A HEMORRAGIA
P582,P582,ICTERICIA NEONATAL DEBIDA A INFECCION
P583,P583,ICTERICIA NEONATAL DEBIDA A POLICITEMIA
P584,P584,ICTERICIA NEONATAL DEBIDA A DROGAS O TOXINAS TRANSMITIDAS POR LA MADRE O ADMINISTRADAS AL RECIEN NACIDO
P585,P585,ICTERICIA NEONATAL DEBIDA A DEGLUCION DE SANGRE MATERNA
P588,P588,ICTERICIA NEONATAL DEBIDA A OTRAS HEMOLISIS EXCESIVAS ESPECIFICADAS
P589,P589,ICTERICIA NEONATAL DEBIDA A HEMOLISIS EXCESIVA
P590,P590,ICTERICIA NEONATAL ASOCIADA CON EL PARTO ANTES DE TERMINO
P591,P591,SINDROME DE LA BILIS ESPESA
P592,P592,ICTERICIA NEONATAL DEBIDA A OTRA LESION HEPATICA ESPECIFICADA O NO
P593,P593,ICTERICIA NEONATAL POR INHIBIDOR DE LA LECHE MATERNA
P598,P598,ICTERICIA NEONATAL POR OTRAS CAUSAS ESPECIFICADAS
P599,P599,ICTERICIA NEONATAL
P60X,P60,COAGULACION INTRAVASCULAR DISEMINADA EN EL FETO Y EL RECIEN NACIDO
P610,P610,TROMBOCITOPENIA NEONATAL TRANSITORIA
P611,P611,POLICITEMIA NEONATAL
P612,P612,ANEMIA DE LA PREMATURIDAD
P613,P613,ANEMIA CONGENITA DEBIDA A PERDIDA DE SANGRE FETAL
P614,P614,OTRAS ANEMIAS CONGENITAS
P615,P615,NEUTROPENIA NEONATAL TRANSITORIA
P616,P616,OTROS TRASTORNOS NEONATALES TRANSITORIOS DE LA COAGULACION
P618,P618,OTROS TRASTORNOS HEMATOLOGICOS PERINATALES ESPECIFICADOS
P619,P619,TRASTORNO HEMATOLOGICO PERINATAL
P700,P700,SINDROME DEL RECIEN NACIDO DE MADRE CON DIABETES GESTACIONAL
P701,P701,SINDROME DEL RECIEN NACIDO DE MADRE DIABETICA
P702,P702,DIABETES MELLITUS NEONATAL
P703,P703,HIPOGLICEMIA NEONATAL YATROGENICA
P704,P704,OTRAS HIPOGLICEMIAS NEONATALES
P708,P708,OTROS TRASTORNOS TRANSITORIOS DEL METABOLISMO DE LOS CARBOHIDRATOS EN EL FETO Y EL RECIEN NACIDO
P709,P709,TRASTORNO TRANSITORIO NO ESPECIFICADO DEL METABOLISMO DE LOS CARBOHIDRATOS EN EL FETO Y EL RECIEN NACIDO
P710,P710,HIPOCALCEMIA DEL RECIEN NACIDO DEBIDA A LA LECHE DE VACA
P711,P711,OTRA HIPOCALCEMIA NEONATAL
P712,P712,HIPOMAGNESEMIA NEONATAL
P713,P713,TETANIA NEONATAL SIN MENCION DE DEFICIENCIA DE CALCIO O DE MAGNESIO
P714,P714,HIPOPARATIROIDISMO NEONATAL TRANSITORIO
P718,P718,OTROS TRASTORNOS NEONATALES TRANSITORIOS DEL METABOLISMO DEL CALCIO Y DEL MAGNESIO
P719,P719,TRASTORNO NEONATAL TRANSITORIO NO ESPECIFICADO DEL METABOLISMO DEL CALCIO Y DEL MAGNESIO
P720,P720,BOCIO NEONATAL
P721,P721,HIPERTIROIDISMO NEONATAL TRANSITORIO
P722,P722,OTROS TRASTORNOS NEONATALES TRANSITORIOS DE LA FUNCION TIROIDEA
P728,P728,OTROS TRASTORNOS ENDOCRINOS NEONATALES TRANSITORIOS ESPECIFICADOS
P729,P729,TRASTORNO ENDOCRINO NEONATAL TRANSITORIO
P740,P740,ACIDOSIS METABOLICA TARDIA DEL RECIEN NACIDO
P741,P741,DESHIDRATACION DEL RECIEN NACIDO
P742,P742,ALTERACIONES DEL EQUILIBRIO DEL SODIO EN EL RECIEN NACIDO
P743,P743,ALTERACIONES DEL EQUILIBRIO DEL POTASIO EN EL RECIEN NACIDO
P744,P744,OTRAS ALTERACIONES ELECTROLITICAS TRANSITORIAS DEL RECIEN NACIDO
P745,P745,TIROSINEMIA TRANSITORIA DEL RECIEN NACIDO
P748,P748,OTRAS ALTERACIONES METABOLICAS TRANSITORIAS DEL RECIEN NACIDO
P749,P749,TRASTORNO METABOLICO TRANSITORIO DEL RECIEN NACIDO
P75X,P75,ILEO MECONIAL EN LA FIBROSIS QUISTICA (E84.1â€ )
P760,P760,SINDROME DEL TAPON DE MECONIO
P761,P761,ILEO TRANSITORIO DEL RECIEN NACIDO
P762,P762,OBSTRUCCION INTESTINAL DEBIDA A LA LECHE ESPESA
P768,P768,OTRAS OBSTRUCCIONES INTESTINALES ESPECIFICADAS DEL RECIEN NACIDO
P769,P769,OBSTRUCCION INTESTINAL DEL RECIEN NACIDO
P77X,P77,ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO
P780,P780,PERFORACION INTESTINAL PERINATAL
P781,P781,OTRAS PERITONITIS NEONATALES
